[pt.c] /dev/sgx-step opened!
[pt.c] /dev/mem opened!

--------------------------------------------------------------------------------
[main.c] Creating enclave...
--------------------------------------------------------------------------------

[main.c] cipher is 9334

==== System Settings ====
    Pstate max perf pct: 100
    Pstate min perf pct: 100
    Turbo Boost:         0
    cpu pinning:         1
    Designated cpu:      1
    Running on cpu:      1
==== Victim Enclave ====
    Base: 0x7f9447000000
    Size: 4194304
    Limit:  0x7f9447400000
    TCS:  0x7f944737f000
    AEP:  0x4036ec
    EDBGRD: debug
[main.c] Establishing user space IDT mapping
[idt.c] DTR.base=0xfffffe0000000000/size=4095 (256 entries)
[idt.c] established user space IDT mapping at 0x7f944940e000
[idt.c] installed IRQ handler with target_rip=(nil)
[idt.c] IDT[ 45] @0x7f944940e2d0 = 0x403731 (seg sel 0x33); p=1; dpl=3; type=15; ist=0
[apic.c] established local APIC memory mapping at 0x7f944940b000
[apic.c] apic_id is 2000000
[apic.c] APIC timer one-shot mode with division 2 (lvtt=2d/tdcr=0)

--------------------------------------------------------------------------------
[main.c] calling enclave MACRO_BENCH=1; NUM_BENCH=100
--------------------------------------------------------------------------------

[main.c] Caught fault 11! Restoring enclave page permissions..
[main.c] ^^ enclave RIP=0; latency=0
[main.c] ^^ enclave RIP=0x3000; latency=8172
[main.c] ^^ enclave RIP=0x3000; latency=8632
[main.c] ^^ enclave RIP=0x2057; latency=7942
[main.c] ^^ enclave RIP=0x205c; latency=7740
[main.c] ^^ enclave RIP=0x2063; latency=7932
[main.c] ^^ enclave RIP=0x206a; latency=7974
[main.c] ^^ enclave RIP=0x206f; latency=7846
[main.c] ^^ enclave RIP=0x2074; latency=7860
[main.c] ^^ enclave RIP=0x8710; latency=8040
[main.c] ^^ enclave RIP=0x8712; latency=7918
[main.c] ^^ enclave RIP=0x8714; latency=7858
[main.c] ^^ enclave RIP=0x8716; latency=7820
[main.c] ^^ enclave RIP=0x8716; latency=7884
[main.c] ^^ enclave RIP=0x8718; latency=7844
[main.c] ^^ enclave RIP=0x8719; latency=7846
[main.c] ^^ enclave RIP=0x871a; latency=7990
[main.c] ^^ enclave RIP=0x871e; latency=7850
[main.c] ^^ enclave RIP=0x8721; latency=7868
[main.c] ^^ enclave RIP=0x8726; latency=7800
[main.c] ^^ enclave RIP=0x8728; latency=7896
[main.c] ^^ enclave RIP=0x872b; latency=7794
[main.c] ^^ enclave RIP=0x872e; latency=7794
[main.c] ^^ enclave RIP=0x8731; latency=7808
[main.c] ^^ enclave RIP=0x8734; latency=7940
[main.c] ^^ enclave RIP=0x8750; latency=7802
[main.c] ^^ enclave RIP=0x8753; latency=8028
[main.c] ^^ enclave RIP=0x8758; latency=7844
[main.c] ^^ enclave RIP=0x875b; latency=7796
[main.c] ^^ enclave RIP=0x875e; latency=7866
[main.c] ^^ enclave RIP=0x8762; latency=7810
[main.c] ^^ enclave RIP=0x8766; latency=7772
[main.c] ^^ enclave RIP=0x8769; latency=7814
[main.c] ^^ enclave RIP=0x202f; latency=7796
[main.c] ^^ enclave RIP=0x2031; latency=8010
[main.c] ^^ enclave RIP=0x2033; latency=7926
[main.c] ^^ enclave RIP=0x2037; latency=7830
