[pt.c] /dev/sgx-step opened!
[pt.c] /dev/mem opened!

--------------------------------------------------------------------------------
[main.c] Creating enclave...
--------------------------------------------------------------------------------

[main.c] cipher is 9334

==== System Settings ====
    Pstate max perf pct: 100
    Pstate min perf pct: 100
    Turbo Boost:         0
    cpu pinning:         1
    Designated cpu:      1
    Running on cpu:      1
==== Victim Enclave ====
    Base: 0x7fab25800000
    Size: 4194304
    Limit:  0x7fab25c00000
    TCS:  0x7fab25b7f000
    AEP:  0x4036da
    EDBGRD: debug
[main.c] Establishing user space IDT mapping
[idt.c] DTR.base=0xfffffe0000000000/size=4095 (256 entries)
[idt.c] established user space IDT mapping at 0x7fab27b9a000
[idt.c] installed IRQ handler with target_rip=(nil)
[idt.c] IDT[ 45] @0x7fab27b9a2d0 = 0x40371f (seg sel 0x33); p=1; dpl=3; type=15; ist=0
[apic.c] established local APIC memory mapping at 0x7fab27b97000
[apic.c] apic_id is 2000000
[apic.c] APIC timer one-shot mode with division 2 (lvtt=2d/tdcr=0)

--------------------------------------------------------------------------------
[main.c] calling enclave MACRO_BENCH=1; NUM_BENCH=100
--------------------------------------------------------------------------------

[main.c] Caught fault 11! Restoring enclave page permissions..
[main.c] ^^ enclave RIP=0; latency=0
[main.c] ^^ enclave RIP=0x3000; latency=8268
[main.c] ^^ enclave RIP=0x3000; latency=8646
[main.c] ^^ enclave RIP=0x20cf; latency=8098
[main.c] ^^ enclave RIP=0x20cf; latency=7982
[main.c] ^^ enclave RIP=0x4001; latency=8694
[main.c] ^^ enclave RIP=0x4008; latency=7972
[main.c] ^^ enclave RIP=0x400f; latency=7950
[main.c] ^^ enclave RIP=0x4016; latency=7796
[main.c] ^^ enclave RIP=0x401a; latency=7814
[main.c] ^^ enclave RIP=0x5032; latency=7876
[main.c] ^^ enclave RIP=0x5008; latency=7810
[main.c] ^^ enclave RIP=0x5034; latency=7738
[main.c] ^^ enclave RIP=0x5023; latency=7924
[main.c] ^^ enclave RIP=0x5036; latency=7824
[main.c] ^^ enclave RIP=0x502d; latency=7754
[main.c] ^^ enclave RIP=0x5038; latency=7824
[main.c] ^^ enclave RIP=0x5000; latency=7824
[main.c] ^^ enclave RIP=0x5001; latency=7816
[main.c] ^^ enclave RIP=0x5008; latency=7902
[main.c] ^^ enclave RIP=0x5034; latency=7926
[main.c] ^^ enclave RIP=0x5023; latency=7936
[main.c] ^^ enclave RIP=0x5036; latency=8002
[main.c] ^^ enclave RIP=0x502d; latency=7884
[main.c] ^^ enclave RIP=0x5038; latency=8022
[main.c] ^^ enclave RIP=0x5030; latency=7978
[main.c] ^^ enclave RIP=0x5031; latency=7918
[main.c] ^^ enclave RIP=0x20d4; latency=8098
[main.c] ^^ enclave RIP=0x20de; latency=7928
[main.c] ^^ enclave RIP=0x20e8; latency=7866
[main.c] ^^ enclave RIP=0x20e9; latency=7814
[main.c] ^^ enclave RIP=0x4001; latency=7960
[main.c] ^^ enclave RIP=0x4008; latency=7836
[main.c] ^^ enclave RIP=0x400f; latency=7864
[main.c] ^^ enclave RIP=0x4016; latency=7796
[main.c] ^^ enclave RIP=0x401a; latency=7962
[main.c] ^^ enclave RIP=0x5032; latency=7968
